Year,Player,Team,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2021-2022,Luke Kunin,NSH,C,82,952.15,808,968,45.5,593,735,44.65,428,536,44.4,34,45,43.04,33.73,41.18,45.03,397,455,46.6,136,165,45.18,18,25,41.86,261,290,47.37,15,10,60,364,460,44.17,1,9,10,7.94,91.6,0.995,160,230,149,779,51.78,327,321,301,52.07
2021-2022,Gustav Lindstrom,DET,D,63,917.6833333,732,877,45.49,555,645,46.25,428,468,47.77,32,45,41.56,33.96,37.87,47.28,364,450,44.72,155,188,45.19,15,23,39.47,209,262,44.37,12,16,42.86,332,395,45.67,5,6,45.45,7.48,90.38,0.979,107,179,134,723,44.4,256,265,260,49.61
2021-2022,Jansen Harkins,WPG,C,77,708.5,546,655,45.46,399,501,44.33,276,355,43.74,17,24,41.46,21.96,27.36,44.52,247,296,45.49,92,122,42.99,10,11,47.62,155,174,47.11,6,9,40,266,313,45.94,1,4,20,6.16,93.24,0.994,91,150,92,629,49.73,156,188,185,45.75
2021-2022,Keith Yandle,PHI,D,77,875.8166667,775,934,45.35,569,703,44.73,425,520,44.97,24,51,32,33.19,44.98,42.46,335,482,41,156,208,42.86,18,32,36,179,274,39.51,4,12,25,361,397,47.63,2,7,22.22,5.65,90.19,0.958,150,159,84,865,64.1,318,261,218,59.33
2021-2022,Jacob Peterson,DAL,C,65,654,561,676,45.35,423,496,46.03,306,351,46.58,23,22,51.11,27.9,28.37,49.58,309,297,50.99,133,121,52.36,19,9,67.86,176,176,50,3,8,27.27,208,319,39.47,1,5,16.67,7.52,93.73,1.012,104,146,63,627,62.28,193,187,144,57.27
2021-2022,Nikita Zaitsev,OTT,D,62,973,844,1019,45.3,644,750,46.2,450,557,44.69,36,47,43.37,39.69,44.63,47.07,437,519,45.71,183,198,48.03,20,25,44.44,254,321,44.17,11,17,39.29,365,461,44.19,5,5,50,8,91.56,0.996,81,181,152,853,34.76,203,299,392,34.12
2021-2022,Dominik Kubalik,CHI,L,78,972.35,797,966,45.21,575,702,45.03,425,533,44.36,31,40,43.66,33.6,41.41,44.79,364,479,43.18,143,167,46.13,16,24,40,221,312,41.46,6,11,35.29,380,432,46.8,9,5,64.29,7.29,92.5,0.998,138,189,124,799,52.67,261,280,295,46.94
2021-2022,Brent Burns,S.J,D,82,1567.15,1354,1652,45.04,1021,1170,46.6,723,838,46.32,68,65,51.13,61.84,69.84,46.96,684,797,46.19,302,304,49.83,38,30,55.88,382,493,43.66,19,27,41.3,743,969,43.4,10,7,58.82,9.41,92.24,1.016,186,300,239,1140,43.76,412,484,548,42.92
2021-2022,Zach Sanford,"OTT, WPG",L,80,979.5333333,817,997,45.04,616,737,45.53,413,549,42.93,29,40,42.03,37.76,42.64,46.97,424,468,47.53,186,201,48.06,19,30,38.78,238,267,47.13,3,7,30,328,468,41.21,7,3,70,7.02,92.71,0.997,112,254,160,770,41.18,217,326,331,39.6
2021-2022,Oskar Lindblom,PHI,L,79,961.5166667,840,1025,45.04,626,753,45.4,481,525,47.81,37,46,44.58,36.78,43.16,46.01,380,471,44.65,143,189,43.07,20,22,47.62,237,282,45.66,11,17,39.29,392,477,45.11,6,7,46.15,7.69,91.24,0.989,165,232,171,804,49.11,256,306,315,44.83
2021-2022,Mario Ferraro,S.J,D,63,1188.15,1015,1241,44.99,764,890,46.19,523,647,44.7,44,51,46.32,44.9,52.25,46.21,513,563,47.68,203,218,48.22,23,21,52.27,310,345,47.33,12,22,35.29,557,759,42.33,9,7,56.25,8.41,92.12,1.005,147,240,171,826,46.23,311,371,397,43.93
2021-2022,Lawson Crouse,ARI,L,65,843.5833333,691,846,44.96,515,630,44.98,365,480,43.2,36,43,45.57,31.02,37.01,45.59,345,410,45.7,135,163,45.3,14,18,43.75,210,247,45.95,15,18,45.45,317,404,43.97,7,6,53.85,9.86,91.04,1.009,117,223,138,702,45.88,200,288,268,42.74
2021-2022,Josh Mahura,ANA,D,38,517.4833333,440,540,44.9,336,396,45.9,235,273,46.26,13,29,30.95,19.56,24.83,44.07,203,265,43.38,89,108,45.18,7,15,31.82,114,157,42.07,3,11,21.43,201,244,45.17,2,3,40,5.53,89.38,0.949,65,108,55,448,54.17,134,161,136,49.63
2021-2022,Derek Grant,ANA,C,71,793.4833333,681,836,44.89,512,628,44.91,368,441,45.49,29,43,40.28,29.94,37.52,44.38,331,367,47.42,145,164,46.93,22,25,46.81,186,203,47.81,4,6,40,287,414,40.94,3,12,20,7.88,90.25,0.981,125,198,177,615,41.39,199,262,307,39.33
2021-2022,Kale Clague,"L.A, MTL",D,36,503.25,384,473,44.81,295,369,44.43,223,281,44.25,12,22,35.29,18.61,26.08,41.64,204,261,43.87,77,116,39.9,5,10,33.33,127,145,46.69,5,7,41.67,190,199,48.84,2,5,28.57,5.38,92.17,0.976,66,80,46,408,58.93,160,131,106,60.15
2021-2022,Loui Eriksson,ARI,L,73,819.6666667,664,818,44.8,488,633,43.53,354,453,43.87,27,47,36.49,27.35,38.3,41.66,298,414,41.85,133,181,42.36,17,25,40.48,165,233,41.46,4,14,22.22,316,354,47.16,6,8,42.86,7.63,89.62,0.973,113,201,146,714,43.63,171,248,261,39.58
2021-2022,Clayton Keller,ARI,"C, R",67,999.9166667,779,960,44.8,619,750,45.22,436,572,43.25,56,56,50,38.55,45.52,45.86,404,493,45.04,170,202,45.7,33,27,55,234,291,44.57,17,21,44.74,352,420,45.6,6,8,42.86,12.84,90.21,1.031,175,233,171,752,50.58,270,293,306,46.88
2021-2022,Andrew Ladd,ARI,L,51,587.55,460,567,44.79,341,439,43.72,236,324,42.14,16,33,32.65,19.59,25.37,43.57,218,267,44.95,92,119,43.6,9,18,33.33,126,148,45.99,4,11,26.67,210,266,44.12,3,4,42.86,6.78,89.81,0.966,78,137,99,505,44.07,126,175,161,43.9
2021-2022,Andrej Sustr,"ANA, T.B",D,38,512.8333333,406,501,44.76,302,389,43.7,227,266,46.04,14,17,45.16,17.37,22.5,43.57,213,256,45.42,83,97,46.11,7,8,46.67,130,159,44.98,4,6,40,171,226,43.07,3,3,50,6.17,93.61,0.998,47,97,56,461,45.63,106,151,118,47.32
2021-2022,Philipp Kurashev,CHI,C,67,751.2833333,585,722,44.76,430,519,45.31,326,382,46.05,21,33,38.89,25.58,31.04,45.18,275,350,44,111,126,46.84,9,19,32.14,164,224,42.27,10,10,50,270,331,44.93,2,4,33.33,6.44,91.36,0.978,104,183,84,623,55.32,179,239,166,51.88
2021-2022,Nick Seeler,PHI,D,43,517.7,428,531,44.63,317,386,45.09,244,283,46.3,18,23,43.9,16.7,24.45,40.58,192,272,41.38,73,110,39.89,13,10,56.52,119,162,42.35,4,8,33.33,198,227,46.59,1,5,16.67,7.38,91.87,0.992,82,104,72,496,53.25,154,172,143,51.85
2021-2022,Luke Glendening,DAL,C,82,923.6333333,672,834,44.62,508,613,45.32,338,428,44.13,19,33,36.54,28.79,34.29,45.64,326,369,46.91,144,152,48.65,13,21,38.24,182,217,45.61,5,7,41.67,293,396,42.53,1,5,16.67,5.62,92.29,0.979,102,300,222,799,31.48,177,366,419,29.7
2021-2022,Jakob Silfverberg,ANA,R,53,651.6333333,508,631,44.6,392,473,45.32,288,330,46.6,23,29,44.23,21.81,30.78,41.47,221,297,42.66,100,134,42.74,14,14,50,121,163,42.61,6,10,37.5,248,288,46.27,2,5,28.57,7.99,91.21,0.992,77,156,163,509,32.08,122,213,297,29.12
2021-2022,Jean-Gabriel Pageau,NYI,C,77,963.3,778,967,44.58,599,700,46.11,437,513,46,38,32,54.29,37.13,41.38,47.29,392,509,43.51,170,174,49.42,23,16,58.97,222,335,39.86,12,14,46.15,348,426,44.96,2,2,50,8.7,93.76,1.025,162,228,242,735,40.1,265,308,432,38.02
2021-2022,Barclay Goodrow,NYR,C,79,1040.883333,807,1009,44.44,606,742,44.96,423,528,44.48,45,34,56.96,36.91,46.1,44.46,410,494,45.35,184,221,45.43,27,25,51.92,226,273,45.29,11,6,64.71,337,465,42.02,7,3,70,10.64,93.56,1.042,113,189,118,822,48.92,236,304,295,44.44
2021-2022,Noah Gregor,S.J,C,63,810.6166667,698,873,44.43,537,617,46.53,386,440,46.73,25,41,37.88,30.53,36.1,45.82,339,427,44.26,135,154,46.71,7,19,26.92,204,273,42.77,12,16,42.86,391,473,45.25,5,6,45.45,6.48,90.68,0.972,127,176,99,693,56.19,223,248,232,49.01
2021-2022,Phil Kessel,ARI,"C, R",82,1077.75,890,1115,44.39,673,861,43.87,486,641,43.12,50,69,42.02,40,54.34,42.4,439,581,43.04,172,239,41.85,30,38,44.12,267,342,43.84,15,20,42.86,405,498,44.85,5,10,33.33,10.29,89.24,0.995,170,230,166,900,50.6,284,311,316,47.33
2021-2022,Sam Lafferty,"CHI, PIT","C, R",56,628.2166667,495,623,44.28,375,452,45.34,281,339,45.32,18,35,33.96,22.83,23.31,49.47,252,277,47.64,104,85,55.03,13,19,40.63,148,192,43.53,4,8,33.33,207,325,38.91,1,8,11.11,6.41,89.68,0.961,48,161,149,504,24.37,81,224,268,23.21
2021-2022,Anton Stralman,ARI,D,74,1301.45,1032,1299,44.27,788,1031,43.32,573,736,43.77,60,74,44.78,47.55,64,42.63,507,661,43.41,225,316,41.59,40,39,50.63,282,345,44.98,13,19,40.63,457,582,43.98,7,15,31.82,10.47,89.95,1.004,94,250,202,995,31.76,261,403,429,37.83
2021-2022,Radek Faksa,DAL,C,77,1009.616667,730,919,44.27,545,670,44.86,374,474,44.1,20,40,33.33,31.54,39.49,44.4,335,431,43.73,157,182,46.31,16,26,38.1,178,249,41.69,4,9,30.77,343,414,45.31,0,5,0,5.35,91.56,0.969,97,292,219,788,30.7,178,367,418,29.87
2021-2022,Kyle Capobianco,ARI,D,45,661.9,533,673,44.2,408,531,43.45,283,388,42.18,27,38,41.54,25.16,35.09,41.77,264,347,43.21,110,147,42.8,17,20,45.95,154,200,43.5,9,9,50,233,290,44.55,1,8,11.11,9.54,90.21,0.997,97,120,93,584,51.05,198,186,195,50.38
2021-2022,Danny DeKeyser,DET,D,59,917.15,738,934,44.14,552,720,43.4,434,534,44.83,28,44,38.89,33.18,44.7,42.6,360,500,41.86,146,225,39.35,15,20,42.86,214,275,43.76,8,14,36.36,322,409,44.05,5,10,33.33,6.45,91.76,0.982,101,195,149,746,40.4,276,284,316,46.62
2021-2022,Colton Parayko,STL,D,80,1595.033333,1215,1538,44.13,951,1192,44.38,706,850,45.37,80,76,51.28,60.77,71.57,45.92,677,774,46.66,252,291,46.41,41,33,55.41,425,483,46.81,26,29,47.27,501,705,41.54,13,13,50,11.33,91.06,1.024,170,341,275,1288,38.2,377,498,572,39.73
2021-2022,Kevin Hayes,PHI,"C, R",48,643,551,699,44.08,406,528,43.47,308,392,44,30,40,42.86,24.74,31.36,44.1,254,353,41.85,97,121,44.5,18,20,47.37,157,232,40.36,8,14,36.36,243,309,44.02,4,6,40,9.74,89.8,0.995,100,148,101,519,49.75,164,213,188,46.59
2021-2022,Sebastian Aho,NYI,D,36,545.3833333,428,543,44.08,314,415,43.07,229,302,43.13,23,25,47.92,18.23,24.93,42.24,217,294,42.47,76,118,39.18,12,11,52.17,141,176,44.48,8,9,47.06,192,230,45.5,2,5,28.57,10.04,91.72,1.018,75,107,64,487,53.96,161,149,118,57.71
2021-2022,Austin Watson,OTT,L,67,695.45,546,693,44.07,417,499,45.52,289,364,44.26,18,26,40.91,23.01,28.85,44.37,246,318,43.62,100,141,41.49,6,16,27.27,146,177,45.2,6,8,42.86,252,317,44.29,6,2,75,6.23,92.86,0.991,44,179,161,654,21.46,90,231,296,23.32
2021-2022,David Savard,MTL,D,62,1078.383333,910,1161,43.94,682,884,43.55,500,663,42.99,40,63,38.83,43.12,55.1,43.9,446,634,41.3,204,233,46.68,23,39,37.1,242,401,37.64,13,14,48.15,407,456,47.16,4,10,28.57,8,90.5,0.985,108,239,143,710,43.03,282,363,353,44.41
2021-2022,Joe Veleno,DET,C,66,803.0666667,594,758,43.93,443,575,43.52,334,429,43.77,23,36,38.98,23.32,35.83,39.42,262,407,39.16,90,172,34.35,9,20,31.03,172,235,42.26,10,12,45.45,289,335,46.31,4,4,50,6.89,91.61,0.985,94,186,126,594,42.73,178,252,240,42.58
2021-2022,Andrew Cogliano,"COL, S.J",C,74,779.2666667,591,756,43.88,461,551,45.55,313,384,44.91,22,45,32.84,23.93,31.12,43.47,263,360,42.22,109,140,43.78,12,24,33.33,154,220,41.18,4,17,19.05,338,419,44.65,5,4,55.56,7.03,88.28,0.953,110,218,139,761,44.18,180,286,292,38.14
2021-2022,Marco Scandella,STL,D,70,1071.383333,822,1054,43.82,639,844,43.09,482,610,44.14,51,44,53.68,40.57,51.08,44.27,469,535,46.71,180,204,46.88,27,17,61.36,289,331,46.61,17,20,45.95,319,475,40.18,7,7,50,10.58,92.79,1.034,99,253,215,1034,31.53,199,356,418,32.25
2021-2022,Christian Dvorak,MTL,L,56,699.7166667,607,779,43.8,438,585,42.82,327,433,43.03,30,37,44.78,27.68,35.69,43.68,305,402,43.14,127,160,44.25,13,22,37.14,178,242,42.38,11,8,57.89,263,322,44.96,6,7,46.15,9.17,91.45,1.006,114,165,166,493,40.71,202,238,318,38.85
2021-2022,Matt Nieto,S.J,L,70,853.4166667,639,821,43.77,494,583,45.87,356,392,47.59,25,43,36.76,26.89,31.27,46.24,306,381,44.54,130,127,50.58,11,22,33.33,176,254,40.93,9,15,37.5,373,471,44.19,5,5,50,7.02,89.03,0.961,98,219,147,775,40,185,289,280,39.78
2021-2022,Connor Murphy,CHI,D,57,1046.533333,823,1058,43.75,585,733,44.39,431,541,44.34,36,51,41.38,31.45,41.59,43.06,384,480,44.44,146,161,47.56,19,24,44.19,238,319,42.73,12,21,36.36,384,519,42.52,5,6,45.45,8.35,90.57,0.989,90,228,153,862,37.04,202,331,347,36.79
2021-2022,Marc-Edouard Vlasic,S.J,D,75,1055.883333,810,1042,43.74,622,753,45.24,450,512,46.78,27,49,35.53,35.22,43.66,44.65,394,468,45.71,173,187,48.06,15,25,37.5,221,281,44.02,5,17,22.73,432,603,41.74,7,7,50,6,90.43,0.964,119,198,152,976,43.91,231,294,318,42.08
2021-2022,Brayden Schenn,STL,C,62,865.7666667,670,862,43.73,494,686,41.86,379,500,43.12,48,37,56.47,31.56,41.78,43.03,376,493,43.27,128,171,42.81,21,18,53.85,248,322,43.51,22,14,61.11,263,343,43.4,5,5,50,12.66,92.6,1.053,119,164,114,669,51.07,235,255,264,47.09
2021-2022,Nicolas Deslauriers,"ANA, MIN",L,81,809.55,629,810,43.71,465,598,43.74,335,436,43.45,18,30,37.5,27.69,33.42,45.31,295,384,43.45,127,148,46.18,11,18,37.93,168,236,41.58,3,8,27.27,285,360,44.19,4,4,50,5.37,93.12,0.985,129,196,109,660,54.2,194,265,235,45.22
2021-2022,Isac Lundestrom,ANA,C,80,981.9166667,741,958,43.61,569,719,44.18,406,503,44.66,31,39,44.29,32.77,43.27,43.1,345,458,42.96,165,183,47.41,20,18,52.63,180,275,39.56,7,11,38.89,337,436,43.6,3,10,23.08,7.64,92.25,0.999,125,260,229,753,35.31,197,322,379,34.2
2021-2022,Shayne Gostisbehere,ARI,D,82,1420.55,1154,1493,43.6,850,1142,42.67,608,859,41.45,58,76,43.28,53.14,69.52,43.32,588,763,43.52,240,305,44.04,27,42,39.13,348,458,43.18,17,24,41.46,510,650,43.97,14,9,60.87,9.54,91.15,1.007,149,289,233,1081,39.01,362,456,479,43.04
2021-2022,Niko Mikkola,STL,D,54,811.1333333,599,775,43.6,470,598,44.01,347,436,44.32,37,47,44.05,31,36.38,46.01,346,390,47.01,133,156,46.02,22,21,51.16,213,234,47.65,8,15,34.78,221,360,38.04,7,10,41.18,10.66,89.22,0.999,64,178,166,809,27.83,130,261,290,30.95
2021-2022,Zdeno Chara,NYI,D,72,1187.8,959,1252,43.37,735,925,44.28,539,671,44.55,49,43,53.26,45.96,54.64,45.69,501,636,44.06,208,250,45.41,29,25,53.7,293,386,43.15,12,12,50,415,554,42.83,8,6,57.14,9.09,93.59,1.027,106,252,119,998,47.11,292,356,300,49.32
2021-2022,Michael Rasmussen,DET,C,80,940.6666667,711,929,43.35,543,679,44.44,411,505,44.87,33,53,38.37,32.86,42.37,43.68,368,482,43.29,163,217,42.89,18,28,39.13,205,265,43.62,9,16,36,295,407,42.02,6,9,40,8.03,89.5,0.975,135,250,199,684,40.42,236,334,347,40.48
2021-2022,Antoine Roussel,ARI,L,53,538.6,427,559,43.31,314,435,41.92,228,317,41.83,12,25,32.43,20.44,27.56,42.59,196,247,44.24,97,114,45.97,8,13,38.1,99,133,42.67,1,5,16.67,192,276,41.03,3,6,33.33,5.26,92.11,0.974,77,147,122,511,38.69,112,187,202,35.67
2021-2022,Matthew Highmore,VAN,C,46,518.4833333,400,525,43.24,303,369,45.09,220,262,45.64,18,16,52.94,17.63,21.26,45.33,179,245,42.22,77,101,43.26,11,10,52.38,102,144,41.46,3,4,42.86,175,240,42.17,4,2,66.67,8.18,93.89,1.021,69,153,71,472,49.29,110,197,162,40.44
2021-2022,Juho Lammikko,VAN,L,75,794.5666667,614,807,43.21,464,569,44.92,341,400,46.02,26,32,44.83,26.39,32.6,44.73,288,383,42.92,116,159,42.18,14,20,41.18,172,224,43.43,7,6,53.85,261,356,42.3,5,6,45.45,7.62,92,0.996,102,211,102,725,50,179,281,240,42.72
2021-2022,Rem Pitlick,"MIN, MTL",C,66,799.3,638,842,43.11,486,652,42.71,372,490,43.16,44,43,50.57,30.84,42.05,42.31,323,458,41.36,137,208,39.71,24,30,44.44,186,250,42.66,11,8,57.89,271,330,45.09,9,5,64.29,11.83,91.22,1.031,110,170,100,590,52.38,202,250,243,45.39
2021-2022,Josh Bailey,NYI,"C, R",74,988.15,777,1029,43.02,578,749,43.56,419,535,43.92,42,41,50.6,37.42,46.64,44.52,431,544,44.21,163,221,42.45,23,21,52.27,268,323,45.35,12,14,46.15,298,436,40.6,7,6,53.85,10.02,92.34,1.024,170,175,133,767,56.11,287,238,274,51.16
2021-2022,Dominic Toninato,WPG,C,77,522.1833333,362,480,42.99,259,356,42.11,189,253,42.76,14,17,45.16,15.37,20.31,43.08,177,220,44.58,61,89,40.67,8,9,47.06,116,131,46.96,4,6,40,154,227,40.42,2,2,50,7.41,93.28,1.007,30,91,43,587,41.1,59,126,102,36.65
2021-2022,John Hayden,BUF,C,55,554.9166667,392,521,42.94,300,409,42.31,229,301,43.21,10,21,32.26,15.8,22.85,40.89,185,245,43.02,70,106,39.77,8,9,47.06,115,139,45.28,1,7,12.5,174,246,41.43,1,4,20,4.37,93.02,0.974,78,117,77,488,50.32,128,140,148,46.38
2021-2022,Ivan Barbashev,STL,C,81,1089.566667,863,1148,42.91,660,901,42.28,494,656,42.96,60,59,50.42,42.62,57.63,42.52,502,633,44.23,185,246,42.92,32,33,49.23,317,387,45.03,22,15,59.46,328,479,40.64,6,11,35.29,12.15,91.01,1.032,147,200,138,870,51.58,291,295,318,47.78
2021-2022,Jake McCabe,CHI,D,75,1278.6,1011,1346,42.89,717,982,42.2,525,717,42.27,48,70,40.68,42.46,56.07,43.1,482,659,42.24,193,222,46.51,22,35,38.6,289,437,39.81,18,27,40,449,619,42.04,8,8,50,9.14,90.24,0.994,124,257,202,1049,38.04,263,373,439,37.46
2021-2022,Anders Bjork,BUF,L,58,653.8166667,464,620,42.8,335,483,40.95,250,361,40.92,16,31,34.04,17.52,27.17,39.21,217,283,43.4,79,123,39.11,12,13,48,138,160,46.31,2,11,15.38,210,297,41.42,2,6,25,6.4,91.41,0.978,98,133,98,515,50,141,168,178,44.2
2021-2022,Adam Erne,DET,L,79,952.2333333,712,955,42.71,527,708,42.67,395,525,42.93,27,43,38.57,33.65,40.37,45.47,378,467,44.73,169,202,45.55,14,22,38.89,209,265,44.09,9,13,40.91,288,446,39.24,4,8,33.33,6.84,91.81,0.986,144,267,168,687,46.15,240,336,336,41.67
2021-2022,Zack MacEwen,PHI,C,75,706.9166667,533,721,42.5,415,536,43.64,309,389,44.27,20,33,37.74,23.65,35.36,40.08,222,379,36.94,103,169,37.87,14,21,40,119,210,36.17,4,5,44.44,259,295,46.75,2,7,22.22,6.47,91.52,0.98,95,153,132,662,41.85,138,194,250,35.57
2021-2022,Andy Greene,NYI,D,69,1044.666667,807,1094,42.45,603,803,42.89,445,572,43.76,37,50,42.53,38.45,49.22,43.86,423,573,42.47,176,211,45.48,21,23,47.73,247,362,40.56,10,18,35.71,342,478,41.71,5,9,35.71,8.31,91.26,0.996,133,213,135,933,49.63,288,323,287,50.09
2021-2022,Travis Boyd,ARI,C,74,997.2166667,764,1037,42.42,585,767,43.27,392,565,40.96,53,60,46.9,35.63,47.23,43,370,524,41.39,143,216,39.83,31,35,46.97,227,308,42.43,17,16,51.52,364,463,44.01,5,9,35.71,13.52,89.38,1.029,164,242,176,825,48.24,268,305,327,45.04
2021-2022,Casey Cizikas,NYI,C,74,846.2666667,567,772,42.35,414,560,42.51,304,406,42.82,19,29,39.58,24.99,32.32,43.6,275,385,41.67,120,136,46.88,9,12,42.86,155,249,38.37,5,11,31.25,264,356,42.58,4,6,40,6.25,92.86,0.991,84,274,194,652,30.22,147,323,328,30.95
2021-2022,Braden Schneider,NYR,D,43,630.7333333,446,608,42.31,322,456,41.39,241,323,42.73,23,20,53.49,20.15,27.29,42.48,221,306,41.94,103,117,46.82,16,11,59.26,118,189,38.44,4,5,44.44,191,273,41.16,3,4,42.86,9.54,93.81,1.034,61,104,56,562,52.14,148,171,147,50.17
2021-2022,Nicolas Meloche,S.J,D,50,765.7,578,790,42.25,440,568,43.65,323,393,45.11,26,45,36.62,26.21,33.42,43.96,276,375,42.4,112,152,42.42,15,23,39.47,164,223,42.38,6,15,28.57,306,459,40,5,7,41.67,8.05,88.55,0.966,62,163,135,698,31.47,122,243,261,31.85
2021-2022,Oskar Sundqvist,"DET, STL",C,59,667.3,491,682,41.86,368,515,41.68,282,365,43.59,34,26,56.67,20.15,31.4,39.09,236,364,39.33,85,135,38.64,18,10,64.29,151,229,39.74,10,11,47.62,216,295,42.27,6,5,54.55,12.06,92.88,1.049,64,156,97,559,39.75,137,213,208,39.71
2021-2022,Cody Eakin,BUF,C,69,825.5,545,762,41.7,420,585,41.79,307,431,41.6,20,34,37.04,21.98,30.86,41.6,241,336,41.77,104,132,44.07,12,21,36.36,137,204,40.18,5,7,41.67,253,402,38.63,3,6,33.33,6.51,92.11,0.986,113,185,167,627,40.36,194,235,302,39.11
2021-2022,Janis Moser,ARI,D,43,656.4666667,489,688,41.55,365,538,40.42,256,390,39.63,33,45,42.31,23.19,34.91,39.91,260,356,42.21,119,168,41.46,25,20,55.56,141,188,42.86,7,14,33.33,204,305,40.08,1,10,9.09,12.89,88.46,1.014,45,155,117,545,27.78,123,232,225,35.34
2021-2022,Christian Fischer,ARI,R,53,576.4166667,433,612,41.44,319,449,41.54,222,322,40.81,11,24,31.43,18.93,27.76,40.54,200,286,41.15,92,126,42.2,7,11,38.89,108,160,40.3,3,7,30,199,288,40.86,1,5,16.67,4.95,92.55,0.975,75,141,101,515,42.61,117,189,184,38.87
2021-2022,Alex Galchenyuk,ARI,C,60,725.7666667,569,805,41.41,434,637,40.52,316,465,40.46,30,39,43.48,25.65,42.22,37.79,291,424,40.7,130,188,40.88,15,20,42.86,161,236,40.55,8,14,36.36,247,349,41.44,7,4,63.64,9.49,91.61,1.011,105,130,107,648,49.53,186,189,205,47.57
2021-2022,Riley Stillman,CHI,D,52,705.5666667,557,788,41.41,405,592,40.62,302,441,40.65,27,35,43.55,24.63,34.19,41.87,271,359,43.02,113,153,42.48,16,19,45.71,158,206,43.41,6,9,40,258,385,40.12,5,7,41.67,8.94,92.06,1.01,86,147,79,644,52.12,178,216,164,52.05
2021-2022,Dylan Gambrell,OTT,C,63,663.75,470,667,41.34,358,480,42.72,249,345,41.92,17,22,43.59,19.7,27.76,41.51,214,302,41.47,80,132,37.74,7,15,31.82,134,170,44.08,5,6,45.45,217,312,41.02,5,1,83.33,6.83,93.62,1.005,32,143,143,605,18.29,65,196,275,19.12
2021-2022,Patrik Nemeth,NYR,D,63,923.0666667,648,931,41.04,484,700,40.88,350,506,40.89,28,40,41.18,27.75,42.22,39.66,302,478,38.72,123,193,38.92,18,26,40.91,179,285,38.58,8,9,47.06,316,412,43.41,2,5,28.57,8,92.09,1.001,72,165,77,866,48.32,200,259,217,47.96
2021-2022,Nick Bonino,S.J,C,80,1004.666667,721,1066,40.35,554,742,42.75,393,500,44.01,29,50,36.71,30.99,39.94,43.69,336,494,40.48,146,159,47.87,16,24,40,190,335,36.19,7,20,25.93,428,643,39.96,5,6,45.45,7.38,90,0.974,122,258,199,830,38.01,220,351,401,35.43
2021-2022,MacKenzie Entwistle,CHI,R,55,516.6,352,525,40.14,242,373,39.35,172,279,38.14,15,29,34.09,14.03,22.2,38.72,165,243,40.44,62,98,38.75,10,15,40,103,145,41.53,4,11,26.67,160,256,38.46,1,3,25,8.72,89.61,0.983,33,129,103,452,24.26,60,173,178,25.21
2021-2022,Dysin Mayo,ARI,D,67,1168.3,846,1289,39.63,620,975,38.87,454,729,38.38,38,66,36.54,37.75,59.61,38.78,421,637,39.79,175,264,39.86,17,32,34.69,246,373,39.74,12,25,32.43,388,587,39.79,9,9,50,8.37,90.95,0.993,109,247,180,905,37.72,272,384,392,40.96
2021-2022,Ryan Reaves,NYR,R,69,723.6666667,427,686,38.36,322,515,38.47,240,382,38.59,16,30,34.78,18.5,30.71,37.59,215,330,39.45,91,131,40.99,10,21,32.26,124,199,38.39,4,4,50,186,322,36.61,2,5,28.57,6.67,92.15,0.988,85,149,72,637,54.14,164,230,193,45.94
2021-2022,Kevin Rooney,NYR,C,61,687.7833333,425,699,37.81,312,520,37.5,241,378,38.93,15,20,42.86,18.12,29.53,38.03,198,330,37.5,93,129,41.89,9,13,40.91,105,201,34.31,4,3,57.14,195,332,37,2,4,33.33,6.22,94.71,1.009,79,138,78,582,50.32,163,219,195,45.53
